Event Venue Name,Event Organizer Name,Event Name,Event Start Date,Event Start Time,Event End Date,Event Description,Timezone
Vicar Street,Aiken Promotions,Steel Panther live at Vicar Street - Extra Date Added!,2019-02-05,19:30:00,2019-02-05,Steel Panther Vicar St DUBLIN 6 February 2019 (SOLD-OUT)  DUE TO DEMAND! EXTRA DATE NOW ADDED!  5th February 2019   California rock n’ roll party legends Steel Panther have announced an extra date for Vicar St Dublin on 5th February 2019 due to demand.   Steel Panther have been busy since they moved into musical gear business. The band recently announced the release of their first-ever distortion pedal for guitarists. From the genius mind of guitar icon Satchel the band is releasing the Pussy Melter. The pedal which is made in the USA has 4 knobs and a toggle switch so guitarists of all genders can customize the “Dirty” “Sizzle” “Booty” and “Load” parameters of the tone to their individual liking. The Pussy Melter effects pedal will be a limited run with pre-orders currently underway and units shipped to consumers week commencing October 1st. Each pedal will come with a certificate of authenticity and musicians all over the world can order their own pedal at: https://lnk.to/pussymelter.  ABOUT STEEL PANTHER:   For the uninitiated Steel Panther was formed in 2000 and is comprised of Michael Starr (lead singer) Satchel (guitarist) Lexxi Foxx (bass) and Stix Zadinia (drums). Hailing from Los Angeles the epicenter for rock n’ roll in all its debauchery and glamour Steel Panther has established themselves as the world’s premier party band melding hard rock with parody and criminally good looks. Steel Panther is a global phenomenon with four full-length albums touring across the world platinum-level YouTube status and high-profile television appearances such as Jimmy Kimmel Live Larry King Now FOX NFL Sunday and global magazine cover features.    Rolling Stone avowed “There’s a reason Steel Panther have transcended their origins as a cover band playing the Sunset Strip” while Metal Sucks declared “Steel Panther’s concept is genius...their songwriting is...preposterously snappy – and relatable.”   To quote the band themselves “If you’re a person who’s depressed and always bummed out and prefer it to rain go to a fuckin’ Morissey show”    Tickets priced €36.50 go on sale Thursday 11th October at 9am through www.ticketmaster.ie & usual outlets nationwide.  https://www.facebook.com/events/1840851422617535/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Obscura & Fallujah & Allegaeon & First Fragment - Dublin 5.2.19,2019-02-05,18:00:00,2019-02-05,DME By Arrangement With Avocado Booking Presents  Obscura Fallujah Allegaeon First Fragment  Voodoo Lounge Dublin 5th February 2019 6pm - 18+ €22.50 from www.ticketmaster.ie & outlets nationwide www.tickets.ie & Sound Cellar - on sale Fri. 7th Sep @ 10am  www.dme-promotions.com  https://www.facebook.com/events/881427975386118/,Europe/Dublin
On The Rox,Evil Scarecrow,Dublin - Evil Scarecrow,2019-02-02,17:00:00,2019-02-02,We're heading back across the waves to On The Rox with our Lost in Antartarctica Tour further details to be announced.  Doors open at 5pm. This is a 14+ Show under 16s must be accompanied by an adult.  https://www.facebook.com/events/1961995944039502/,Europe/Dublin
On The Rox,DME Promotions,Evil Scarecrow - On The Rox Dublin - 2nd Feb 2019,2019-02-02,17:00:00,2019-02-02,DME By Arrangement with Eccentric Gent Organisation Presents  Evil Scarecrow Plus Guests Ten Foot Wizard  On The Rox Dublin Sat 2nd February 2019 14+ - 5pm €16 inc bkg fee - on sale Fri. 15th December 10am  https://www.facebook.com/events/159213061362778/,Europe/Dublin
Monroe's Galway,TicketWeb,Pearl Jem (Rescheduled for Feb 1st 2019),2019-02-01,23:00:00,2019-02-02,€13   BF / Age 18 And Up  Additional Info: NEW DATE !!!!!Since releasing Ten back in 1991PearlJam have gone on to sell almost 100 million albums worldwide and secured a place in the hearts and minds of people globally.. The music ofPearlJam has by now shaped and inspired a whole generation and this is something which Irish basedPearlJemhas not taken for granted as a great attention to detail was given when preparing this show.. The sense of honesty in the interpretation of the music creates an insatiable atmosphere both onstage and throughout the expectant crowds..To compliment this then selection of tracks taken from every album in thePearlJam back catalogue right up to their most recent offering "Lightning Bolt" will be included as part of their performance..Formed in 2006PearlJemhave gone from strength to strength enjoying much success touring across Ireland UK & Europe.. Capturing the raw energy passion and emotion of the Seattle giants in their live performance..Gaining the hard earned respect of even the most hardcore fans of the real thing this highly acclaimed tribute are now widely regarded as Europe's No. 1.. Truly a must see show for allPearlJam fans out there.. Wheather it's the more melodic chilled out aspect of this 2 hour programme or the full on guitar driven songs you desire these lads have it covered..www.pearljem.comhttp://www.youtube.com/results?search_query=pearl+jem+channel&nfpr=1https://www.facebook.com/pearljemalive?fref=tshttp://www.pearljem.com/news/kerrang-review Tickets: https://www.ticketweb.ie/event/pearl-jem-monroes-live-tickets/8663885?REFERRAL_ID=twfb  https://www.facebook.com/events/272302666927060/,Europe/Dublin
Button Factory,Ticketmaster Events,Cockney Rejects & the Old Firm Casuals,2019-02-01,19:00:00,2019-02-01,Sale Dates and Times:  Public Onsale : Fri 26 Oct 2018 at 10:00 AM  https://www.facebook.com/events/1935080280129867/,Europe/Dublin
Dublin Ireland,Dublin Events Concerts & Parties,Ozzy Osbourne | Dublin,2019-01-30,19:00:00,2019-01-30,Ozzy Osbourne has announced dates in the UK and Ireland for his No More Tours 2 run.  Tickets go on sale at 9am on September 7 here: https://www.eatmytickets.com/en/artist/ozzy-osbourne  https://www.facebook.com/events/2153381041552211/,Europe/Dublin
3Arena,Ticketmaster Events,Ozzy Osbourne + Judas Priest,2019-01-30,18:30:00,2019-01-30,OZZY OSBOURNE + JUDAS PRIEST 3Arena Dublin January 30th 2019  Tickets from €59 Incl. booking fee on sale this Friday!  Rock and Roll Hall of Fame inductee and Grammy®- winning singer and songwriter OZZY OSBOURNE today revealed details about his forthcoming "NO MORE TOURS 2" a reference to his 1992 "No More Tours" trek. The tour will open at Dublin’s 3Arena on 30th January 2019 with special guests Judas Priest.  The announcement by the legendary musical icon about the European dates extends the North American tour announced earlier this year with his long time collaborators Zakk Wylde (Guitar) Blasko (Bass) Tommy Clufetos (Drums) and Adam Wakeman (Keyboards).  This summer saw OZZY go solo on the European festival circuit with headline performances at Download UK Paris and Madrid Firenze Rocks Copenhell Grasspop Metal Meeting and Sweden Rock Festival.  "I've been extremely blessed to have had two successful music careers" OSBOURNE says. "I'm looking at this final tour as being a huge celebration for my fans and anyone who has enjoyed my music over the past five decades."  On his upcoming farewell world tour produced by Live Nation OSBOURNE will celebrate more than five decades as a performer (both as a solo artist and as lead singer of Black Sabbath which toured through Europe in 2017 on their farewell tour). This tour expected to take OZZY around the world with dates into 2020 will mark the end of global touring for the legendary artist though he will continue to perform select live shows in the future.  Throughout his career OZZY has sold more than 100 million records.  Tickets from €59 including booking and facility fees go on sale this Friday at 9am  https://www.facebook.com/events/308017159958218/,Europe/Dublin
Limelight Belfast,DME Promotions,Escape The Fate 'This War Is Ours' Show - Belfast - 28.1.19,2019-01-28,18:00:00,2019-01-28,DME By Arrangement With K2 Presents  Escape The Fate 'This War Is Ours' 10 year anniversary tour - performing the classic album in full!  Plus Guests  Limelight Belfast Monday 28th January 2019 6pm 18+ £18 inc fees - on sale Fri 2nd November @ 10am  www.dme-promotions.com  https://www.facebook.com/events/2121417671236902/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Escape The Fate 'This War Is Ours' Show - Dublin - 27.1.19,2019-01-27,18:30:00,2019-01-27,DME By Arrangement With K2 Presents  Escape The Fate 'This War Is Ours' 10 year anniversary tour - performing the classic album in full!  Plus Guests  Voodoo Lounge Dublin Sunday 27th January 2019 6.30pm 14+ (under 18's accompanied) €20 inc fees - on sale Fri 2nd November @ 10am  www.dme-promotions.com  https://www.facebook.com/events/284358229084517/,Europe/Dublin
Voodoo Lounge Dublin,Demented Promotions,Michale Graves (Ex Misfits) in Dublin!,2019-01-26,19:00:00,2019-01-26,Demented Promotions present  MICHALE GRAVES (Ex Misfits) https://www.facebook.com/Michale.Graves/  with   support TBA  Date: Saturday 26th January 2019 Place: The Voodoo Lounge 39/40 Arran Quay Doors: 7.00pm Price: Tickets €23 incl. booking fee. See details below.  Ticket info: Tickets are available NOW from the following places:   WAV Tickets via the WAV Ticket Office on 39 Camden Row (beside Whelan’s Venue) or by calling 1890 200 078 or online @ http://wavtickets.ie/. - Click the link at the top of this event page sure.  Sound Cellar on 47 Nassau Street. 01 677 1940.  Music Maker on 29 Exchequer Street. 01 677 9004.  For more information:  http://www.facebook.com/dementedpromotions  Twitter: @dementedpromo Instagram: dementedpromo  https://www.facebook.com/events/223602871833683/,Europe/Dublin
Monroe's Galway,TicketWeb,Negative Creeps (Nirvana Tribute) - Monroe's Galway,2019-01-25,23:00:00,2019-01-26,€12   BF / Age 18 And Up  Additional Info: We are delighted to announce the return of Nirvana Tribute Negative Creeps to Monroe's Galway January 25th 2019Nirvana tribute 'Negative Creeps' recreate the intense raw sound of live Nirvana! With songs taken from across the bands entire back catalogue experience the music of Nirvana as it should be LIVE AND LOUD! Come as you are.Tickets on sale now through the link below Tickets: https://www.ticketweb.ie/event/negative-creeps-nirvana-tribute-monroes-live-tickets/8902215?REFERRAL_ID=twfb  https://www.facebook.com/events/345100596224015/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Winterfylleth 'The Hallowing Of Heirdom' Acoustic Show - Dublin,2019-01-25,19:00:00,2019-01-25,DME By Arrangement With UTA Presents  Winterfylleth 'The Hallowing Of Heirdom' Acoustic Tour  w/guests Wolcensmen Mark Deeks  Voodoo Lounge Dublin Full Seated Show Friday 25th January 2019 7pm - 18+ €20 inc bkg fee (existing tickets from postponed Sep 2018 show remain valid)  www.dme-promotions.com  https://www.facebook.com/events/511467042698843/,Europe/Dublin
The Academy,The Academy,Uncle Acid and the Deadbeats at the Academy Green Room Dublin,2019-01-20,19:00:00,2019-01-20,Uncle Acid and the Deadbeats WASTELAND TOUR Plus very special guests   BLOOD CEREMONY  The Academy Green Room Sunday January 20th   Tickets €20.00 Inc. booking fee go on sale Monday April 30th at 10am from Ticketmaster  Doors 7.00pm | Over 18’s | ID Required  UNCLE ACID & THE DEADBEATS PLAY THE ACADEMY GREEN ROOM ON SUNDAY JANUARY 20TH AS PART OF THEIR ‘WASTELAND’ TOUR WITH SPECIAL GUESTS BLOOD CEREMONY  UK’s scuzziest ambassadors of blood-curdling fuzz UNCLE ACID & THE DEADBEATS prepare to hit the roads of Europe this winter in support of their much anticipated fifth album due out this autumn. Dates for mainland Europe and Scandinavia were announced last week. Now they add a UK leg in January 2019. Support will come from occult rockers BLOOD CEREMONY.   Their last release ‘Lord of Misrule’ was one of the top releases of 2016 and new material is on the horizon  Uncle Acid states: "These will be our first European shows in two years and we're hungry to get back out and lay waste to many of our favourite cities. You will enjoy the show experiencing the latest PsychoVision screen technologies with piles of cranked up ear splitting valve amplification to melt your minds. The nightmare shallresume!"  https://www.facebook.com/events/1951573778506459/,Europe/Dublin
The Thomas House,Cable Street Beat Dublin,Fatal Blow Curb Stomp United Bottles,2019-01-19,20:00:00,2019-01-19,Cable Street Beat Dublin presents a night of Antifascist Oi!  Fatal Blow - Anti-fascist Oi! band from South Wales featuring members of AFA Oi! legends The Oppressed.  Curb Stomp - Oi! from Dortmund Germany. Hard and SHARP!  United Bottles - Started by members of Belfast's finest - Runnin' Riot.   Doors at 20:00 Admission €12  More info TBA  https://www.facebook.com/events/268125927172334/,Europe/Dublin
Limelight Belfast,Limelight Belfast,Uncle Acid & The Deadbeats + Blood Ceremony at The Limelight!,2019-01-19,19:00:00,2019-01-19,Limelight Belfast Presents:  UNCLE ACID & THE DEADBEATS + BLOOD CEREMONY  The Limelight 2 Belfast Saturday 19th January 2019 Doors 7pm *EARLY SHOW* Tickets £16 + Booking Fee 18+ Only  UK’s scuzziest ambassadors of blood-curdling fuzz UNCLE ACID & THE DEADBEATS are pleased to announce a headline Belfast show at The Limelight 2 on Saturday 19th January 2019. The band prepare to hit the roads of Europe this winter in support of their much anticipated fifth album due out this autumn. Support will come from occult rockers BLOOD CEREMONY. Their last release ‘Lord of Misrule’ was one of the top releases of 2016 and new material is on the horizon. Tickets on sale Monday April 30th at 10am from www.limelightbelfast.com www.ticketmaster.ie Katy’s Bar & Ticketmaster outlets nationwide. Northern Ireland customers 0844 277 44 55 & Republic of Ireland customers 0818 719 300.  https://www.facebook.com/events/1776489142373661/,Europe/Dublin
Olympia Theatre,Ticketmaster Events,Mastodon,2019-01-15,19:00:00,2019-01-15,MCD Presents Mastodon (+ Kvelertak & Mutoid Man) The Olympia Theatre Tuesday 15th January 2019  **TICKETS ON SALE NOW**  Grammy-Award-winning hard rock quartet Mastodon has confirmed their return to live action with an extensive tour of the U.K. and Europe with a Dublin date in the  Olympia Theatre on January 15th. Support on all dates will be Kvelertak and Mutoid Man.  Additionally promoters for each show will be making donations to one of the following three charities The TJ Martel Foundation Hirshberg Foundation for Pancreatic Cancer Research and Pancreatic Cancer Action Network in honor of the bands long time manager Nick John who passed away last month from pancreatic cancer. For further details go to: mastodonrocks.com.     Tickets priced from €36.50 including booking fee & €1 restoration levy are on sale now via Ticketmaster.ie usual Ticketmaster outlets nationwide (list here) including The Olympia Theatre Box Office and by calling Ticketmaster at The Olympia Phone Bookings on 0818 719 330.  The fees for this event include a €1.00 restoration levy. The restoration levy will allow The Olympia Theatre to invest in maintaining and enhancing the theatre to ensure that it continues to consistently deliver the highest quality experience for theatre goers actors performers & producers.  Under 14's must be accompanied by an adult. Standing tickets are recommended only for those over 14 years of age. Over 18's ID required to gain access to the bars where alcohol is served.   ******************************************************************** Approximate stage times will be posted once received from production. Doors open 7pm. ********************************************************************  One of the most internationally respected and influential heavy rock bands of their generation or any other Mastodon continue to push forward musically lyrically compositionally and have become a genre unto themselves as a result. Their current acclaimed album Emperor Of Sand has won a 2018 GRAMMY® Award for “Best Metal Performance” for the track “Sultan’s Curse”. The Atlanta rock band was also nominated in the “Best Rock Album” category for Emperor of Sand. This marks Mastodon’s first Grammy win following their previous five GRAMMY® nominations to date. The album also landed the #1 spot in METAL HAMMER Top 100 Albums Of The Year and Mastodon picked up ‘Best Live Band’ at the 2017 Metal Hammer Golden Gods. Emperor of Sand remains both a critical and commercial success for the quartet. Not only did it become the group’s third release to bow in the Top 10 of the Billboard Top 200 but it also debuted at #1 on the Billboard Rock chart as well as #1 on the Physical album chart. Emperor of Sand was released to widespread praise:  “That Mastodon are capable of channeling personal tragedies into madcap sci-fi fantasy is impressive but on Emperor Of Sand they finally harness their musical ambitions as well.” – Pitchfork  “Their most ambitious album in years - Mastodon is one of the most beloved heavy bands on earth.” - Rolling Stone Magazine  “Mastodon has an innate ability to be both accessible and really friggin' far out at the same time.” -  Revolver Magazine  “The music of Emperor Of Sand is an emotional statement in itself. Fury and invention coexist and rage while palpable isn’t the sole or dominant characteristic… metal that soars with authority and intellect. Emperor Of Sand stands as another arresting work by Mastodon which may very well be contemporary metal’s most compelling group.” - Wall Street Journal  As previously announced Reprise Records have released a pair of exclusive 12” vinyl picture discs as part of our on-going “Picture This” series. Brann Dailor’s solo track “Red Death”is one of the 6 songs found on DC Comics’ Dark Nights: Metal: Deluxe Edition collection which comes with a poster and 32-page comic book and limited to 4000 copies worldwide. Mastodon’s groundbreaking 2014 album Once More Round The Sun released as part of the “Picture This” series as a two disc 12” set in a limited edition of 2000 pieces worldwide.  Follow Mastodon: Website: mastodonrocks.com Facebook: facebook.com/Mastodon YouTube: youtube.com/mastodonmusic Twitter: @mastodonmusic Instagram: @mastodonrocks  https://www.facebook.com/events/600845847011689/,Europe/Dublin
Olympia Theatre,Ticketmaster Events,Mastodon,2019-01-15,19:00:00,2019-01-15,MCD Presents Mastodon (+ Kvelertak & Mutoid Man) The Olympia Theatre Tuesday 15th January 2019  **TICKETS ON SALE NOW**  Grammy-Award-winning hard rock quartet Mastodon has confirmed their return to live action with an extensive tour of the U.K. and Europe with a Dublin date in the  Olympia Theatre on January 15th. Support on all dates will be Kvelertak and Mutoid Man.  Additionally promoters for each show will be making donations to one of the following three charities The TJ Martel Foundation Hirshberg Foundation for Pancreatic Cancer Research and Pancreatic Cancer Action Network in honor of the bands long time manager Nick John who passed away last month from pancreatic cancer. For further details go to: mastodonrocks.com.     Tickets priced from €36.50 including booking fee & €1 restoration levy are on sale now via Ticketmaster.ie usual Ticketmaster outlets nationwide (list here) including The Olympia Theatre Box Office and by calling Ticketmaster at The Olympia Phone Bookings on 0818 719 330.  The fees for this event include a €1.00 restoration levy. The restoration levy will allow The Olympia Theatre to invest in maintaining and enhancing the theatre to ensure that it continues to consistently deliver the highest quality experience for theatre goers actors performers & producers.  Under 14's must be accompanied by an adult. Standing tickets are recommended only for those over 14 years of age. Over 18's ID required to gain access to the bars where alcohol is served.   ******************************************************************** Approximate stage times will be posted once received from production. Doors open 7pm. ********************************************************************  One of the most internationally respected and influential heavy rock bands of their generation or any other Mastodon continue to push forward musically lyrically compositionally and have become a genre unto themselves as a result. Their current acclaimed album Emperor Of Sand has won a 2018 GRAMMY® Award for “Best Metal Performance” for the track “Sultan’s Curse”. The Atlanta rock band was also nominated in the “Best Rock Album” category for Emperor of Sand. This marks Mastodon’s first Grammy win following their previous five GRAMMY® nominations to date. The album also landed the #1 spot in METAL HAMMER Top 100 Albums Of The Year and Mastodon picked up ‘Best Live Band’ at the 2017 Metal Hammer Golden Gods. Emperor of Sand remains both a critical and commercial success for the quartet. Not only did it become the group’s third release to bow in the Top 10 of the Billboard Top 200 but it also debuted at #1 on the Billboard Rock chart as well as #1 on the Physical album chart. Emperor of Sand was released to widespread praise:  “That Mastodon are capable of channeling personal tragedies into madcap sci-fi fantasy is impressive but on Emperor Of Sand they finally harness their musical ambitions as well.” – Pitchfork  “Their most ambitious album in years - Mastodon is one of the most beloved heavy bands on earth.” - Rolling Stone Magazine  “Mastodon has an innate ability to be both accessible and really friggin' far out at the same time.” -  Revolver Magazine  “The music of Emperor Of Sand is an emotional statement in itself. Fury and invention coexist and rage while palpable isn’t the sole or dominant characteristic… metal that soars with authority and intellect. Emperor Of Sand stands as another arresting work by Mastodon which may very well be contemporary metal’s most compelling group.” - Wall Street Journal  Check out Emperor Of Sand here: https://wbr.app.box.com/s/0069za9umsnls2y3siu0zbr3pabdbl6m  As previously announced Reprise Records have released a pair of exclusive 12” vinyl picture discs as part of our on-going “Picture This” series. Brann Dailor’s solo track “Red Death”is one of the 6 songs found on DC Comics’ Dark Nights: Metal: Deluxe Edition collection which comes with a poster and 32-page comic book and limited to 4000 copies worldwide. Mastodon’s groundbreaking 2014 album Once More Round The Sun released as part of the “Picture This” series as a two disc 12” set in a limited edition of 2000 pieces worldwide.  Follow Mastodon: Website: mastodonrocks.com Facebook: facebook.com/Mastodon YouTube: youtube.com/mastodonmusic Twitter: @mastodonmusic Instagram: @mastodonrocks  https://www.facebook.com/events/472192536626476/,Europe/Dublin
Olympia Theatre,Mastodon,Mastodon Live in Dublin,2019-01-15,17:00:00,2019-01-15,Kvelertak Mutoid Man  https://www.facebook.com/events/340509656512366/,Europe/Dublin
Ulster Hall,Mastodon,Mastodon Live in Belfast,2019-01-14,17:00:00,2019-01-14,With Special Guest Kvelertak Mutoid Man  https://www.facebook.com/events/2148134538837667/,Europe/Dublin
The Thomas House,The Thomas House,Control,2019-01-05,21:00:00,2019-01-06,DUE TO CIRCUMSTANCES BEYOND OUR CONTROL WE HAVE MOVED THIS GIG TO SATURDAY 5TH JAN 2019. ORIGINAL TICKETS STILL VALID FOR THIS NEW DATE. REFUNDS AVAILABLE FROM EVENTBRITE IF NEW DATE DOESN'T SUIT.   Control return to Dublin for one night only. Support from Hooligan. Tickets on the door or at Eventbrite.ie link above.  https://www.facebook.com/events/827967267397908/,Europe/Dublin
The Well Bar,Nightmare Promotions,Unkindness of Ravens Headline show,2018-12-31,16:58:00,2019-01-01,For the very first time Nightmare Promotions and Wolftrap Records team up to bring you a very special Unkindness of Ravens headline show with very special guests Limericks own Third Island. This event will be held at the Well Bar Nenagh on Monday December 31st and yes that's new years eve which makes this even more special not just an end but a new beginning. There is NO ENTRY FEE on the night this IS A FREE IN event and is also over 18's only.    Unkindness of Ravens will be playing a number of tracks from all 3 albums so far and maybe a hint of whats to come from album no 4.So join us in what is sure to be a fantastic night and as always your support is always appreciated...  https://www.facebook.com/events/1874526089331779/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,Monsters of Craic - Christmas Craicer - Grunge Double Header,2018-12-26,21:00:00,2018-12-27,Bad Reputation IRL presents:  MONSTERS OF CRAIC Christmas Craicer  -Alice in Chains Tribute & Soundgarden/Chris Cornell Tribute-  Angry Chair - A tribute to Alice in Chains and The YEAR Grunge BROKE  (A Tribute to Soundgarden & Chris Cornell)  +DOUBLE HEADER+  St. Stephen's Night 26th December 2018 Dolans Warehouse Dock Rd. Limerick IRL.  Doors: 9pm Adm: €12  (or €10 advance tickets from www.dolans.ie available soon)  https://www.facebook.com/events/515975198827555/,Europe/Dublin
Voodoo Lounge Dublin,DME Promotions,Solstafir - Dublin - 22nd December 2018,2018-12-22,19:00:00,2018-12-22,DME by arrangement with NMC Live presents  SÓLSTAFIR Plus Guests Talons Telepathy  Voodoo Lounge Dublin 22nd December 2018 €20 inc bkg fee from Ticketmaster and usual outlets 18+   www.dme-promotions.com  https://www.facebook.com/events/888488548028092/,Europe/Dublin
Limelight Belfast,DME Promotions,Solstafir - Belfast - 21st December 2018,2018-12-21,18:30:00,2018-12-21,DME by arrangement with NMC Live presents  SÓLSTAFIR Plus Guests Talons Telepathy  Limelight 2 Belfast 21st December 2018 £17.50 inc bkg fee from Ticketmaster and usual outlets 18+   www.dme-promotions.com  https://www.facebook.com/events/307527003352954/,Europe/Dublin
The Academy,The Academy,Flogging Molly at the Academy Dublin,2018-12-17,19:00:00,2018-12-17,FLOGGING MOLLY + Face to Face & Lost In Stereo  17th December 2018 The Academy 57 Middle Abbey Street Dublin  Doors 7.00pm Tickets €32.00 includes booking fee on sale Friday 27th July at 9am from Ticketmaster Over 18s ID required  Quintessential Irish-American folk punk band Flogging Molly – Dave King (lead vocals acoustic guitar electric guitar bodhran) Bridget Regan (violin tin whistle) Dennis Casey (acoustic guitar electric guitar) Bob Schmidt (banjo mandolin) Matt Hensley (accordion piano concertina) Nathen Maxwell (bass guitar vocals) Mike Alonso (drums percussion) – are celebrating their 20th Anniversary as a staple in the punk scene and touring in support of Life Is Good their first new album in over six years. It’s filled with rousing songs that are timeless in their sentiment but directly related to today’s most pressing concerns: politics the economy unemployment planned boomtowns gone bust immigration policies gone awry and much more. Life Is Good serves as a wake-up call to those who have simply stood by while far-reaching political decisions were made that had serious impact on them. The band started out as the house band at Molly Malone’s and built a loyal following. They’ve built a massive fan base through endless touring and even have their very own boat cruise which has hosted everyone from Rancid to NOFX to The Offspring to Less Than Jake to The English Beat to The Bouncing Souls to Frank Turner to Gogol Bordello.  Tickets €32.00 includes booking fee on sale Friday 27th July at 9am from Ticketmaster  https://www.facebook.com/events/588204534907844/,Europe/Dublin
Dolans Pub,Bad Reputation IRL,Metal Salvage / Craic Sabbath - Bad Rep Xmas Party-15th Dec 2018,2018-12-15,21:00:00,2018-12-16,Bad Reputation IRL presents:  Bad Reputation Xmas Party  Metal Salvage 80s Heavy Metal classics from Judas Priest Accept Dio Dokken Riot & more Featuring:  A.A. Nemtheanga (Primordial)  & members of Gama Bomb Unyielding Love  & Craic Sabbath Black Sabbath tribute Ozzy & Dio eras  DOUBLE HEADER Limited to 100 tickets  SATURDAY 15th DECEMBER 2018 Kasbah Dolans Limerck Doors: 9pm Adm: €11 (advance tickets www.dolans.ie - ON SALE SOON)  https://www.facebook.com/events/1948136522157320/,Europe/Dublin
Fred Zeppelins,Pethrophile Promotions,The Crawling  Wolves And The Hideous White Album Launch,2018-12-15,21:00:00,2018-12-16,The crawling album launch  https://www.facebook.com/events/563471977437099/,Europe/Dublin
Fibber Magees,Demented Promotions,Mortiis (Era 1) in Dublin!,2018-12-15,20:00:00,2018-12-16,Demented Promotions present  MORTIIS (Era 1) https://www.facebook.com/officialmortiis/  plus support from  Restive Nation https://www.facebook.com/restivenation  Date: Saturday 15th December Place: Fibber Magees (Downstairs) 80/81 Parnell Street Doors: 8.00pm Price: Tickets €22 incl. booking fee. See details below.  Ticket info: Tickets are available NOW from the following places:   WAV Tickets via the WAV Ticket Office on 39 Camden Row (beside Whelan’s Venue) or by calling 1890 200 078 or online @ http://wavtickets.ie/. - Click the link at the top of this event page sure.  Music Maker on 29 Exchequer Street. 01 677 9004.  Sound Cellar on 47 Nassau Street. 01 677 1940.  For more information:  http://www.facebook.com/dementedpromotions  Twitter: @dementedpromo Instagram: @dementedpromo  https://www.facebook.com/events/2128703477153573/,Europe/Dublin
The Thomas House,Paranoid Beast Promotions,Paranoid Beast Presents Bell Witch plus Support,2018-12-14,21:00:00,2018-12-15,Seattle doom metal duo BELL WITCH have confirmed a full European tour in support of their recently released opus Mirror Reaper.   Released by Profound Lore in October Mirror Reaper was engineered and mixed by veteran producer Billy Anderson (Swans Sleep Neurosis) the duo of Dylan Desmond (bass vocals) and Jesse Shreibman (drums vocals organ) have pushed the band’s sound further beyond their landmark 2015 LP Four Phantoms offering up one continuous eighty-three-minute piece unfolding as a single track. While retaining the colossal heaviness of their previous releases Mirror Reaper sees the band explore the more meditative melancholy and introspective aspects to their sound through the introduction of long lonely organ passages and the return of vocalist Erik Moggridge (Aerial Ruin) offering a prominent presence.  Alongside director Taylor Bednarz BELL WITCH has created a feature-length music video to accompany the album. The film is a video collage comprised of dozens of archival films. Each of these clips are woven together with the album to build a patient heavy and haunting narrative. The film aims to hold the viewer in the state of a lucid dream feeling trapped as a specter drifting through places of darkness. Mirror Reaper will be a projection for the band’s live performances as well as a standalone cinematic experience. The trailer for the film is available to view HERE: https://www.youtube.com/watch?v=SZAtlAQMGzI&feature=youtu.be  https://www.facebook.com/events/358239778050509/,Europe/Dublin
